leaderboard_publish_date,elo_max,lag_1,lag_2,lag_4,lag_8,lag_12,roll_mean_4,roll_mean_12,roll_std_4,week_of_year,week_sin,week_cos,t
2024-03-10,1251.2250573604138,1253.5648625769247,1253.5648625769247,1253.0426073408823,1190.498739179503,1150.1805019946523,1253.434298767914,1197.7802923656882,0.26112761809030843,10,0.9350162426854148,0.35460488704253557,43
2024-03-17,1250.7291052324438,1251.2250573604138,1253.5648625769247,1253.5648625769247,1190.624874176147,1128.6336315397584,1252.979911272797,1206.2006719795015,1.1699026082710033,11,0.970941817426052,0.23931566428755804,44
2024-03-24,1250.7291052324438,1250.7291052324438,1251.2250573604138,1253.5648625769247,1189.3786960061411,1128.6336315397584,1252.2709719366767,1216.3752947872254,1.507713081946115,12,0.992708874098054,0.120536680255323,45
2024-03-31,1253.5558630630308,1250.7291052324438,1250.7291052324438,1253.5648625769247,1253.0426073408823,1128.6336315397584,1251.5620326005564,1226.5499175949492,1.3555338712013054,13,1.0,-1.6081226496766366e-16,46
2024-04-07,1255.9136160403054,1253.5558630630308,1250.7291052324438,1251.2250573604138,1253.0426073408823,1190.498739179503,1251.5597827220831,1236.9601035552218,1.3511017700332235,14,0.992708874098054,-0.12053668025532288,47
2024-04-14,1259.5083527473555,1255.9136160403054,1253.5558630630308,1250.7291052324438,1253.5648625769247,1190.624874176147,1252.7319223920558,1242.4113432936222,2.5049687855927543,15,0.9709418174260521,-0.2393156642875575,48
2024-04-21,1258.8236517153468,1259.5083527473555,1255.9136160403054,1250.7291052324438,1253.5648625769247,1189.3786960061411,1254.926734270784,1248.151633174556,3.7177296344116235,16,0.9350162426854148,-0.35460488704253545,49
2024-04-28,1257.3994068657073,1258.8236517153468,1259.5083527473555,1253.5558630630308,1253.5648625769247,1253.0426073408823,1256.9503708915097,1253.93871281699,2.74772610467868,17,0.8854560256532099,-0.4647231720437685,50
2024-05-05,1258.8152791324717,1257.3994068657073,1258.8236517153468,1255.9136160403054,1251.2250573604138,1253.0426073408823,1257.9112568421788,1254.3017794440586,1.5953828074312577,18,0.8229838658936565,-0.5680647467311557,51
2024-05-12,1257.634537277757,1258.8152791324717,1257.3994068657073,1259.5083527473555,1250.7291052324438,1253.5648625769247,1258.6366726152205,1254.782835426691,0.8864750907701425,19,0.7485107481711013,-0.663122658240795,52
2024-05-19,1286.6349805191508,1257.634537277757,1258.8152791324717,1258.8236517153468,1250.7291052324438,1253.5648625769247,1258.1682187478207,1255.1219749850936,0.7581044646518817,20,0.6631226582407952,-0.7485107481711012,53
2024-05-26,1286.7607663626156,1286.6349805191508,1257.634537277757,1257.3994068657073,1253.5558630630308,1253.5648625769247,1265.1210509487717,1257.8778181469459,14.35599291875904,21,0.5680647467311558,-0.8229838658936564,54
2024-06-02,1281.8854138421657,1286.7607663626156,1286.6349805191508,1258.8152791324717,1255.9136160403054,1251.2250573604138,1272.4613908229987,1260.6441434624203,16.446020146936558,22,0.46472317204376906,-0.8854560256532096,55
2024-06-09,1282.102525498453,1281.8854138421657,1286.7607663626156,1257.634537277757,1259.5083527473555,1250.7291052324438,1278.2289245004222,1263.1991731692328,13.91585190511061,23,0.35460488704253584,-0.9350162426854147,56
2024-06-16,1282.224353774267,1282.102525498453,1281.8854138421657,1286.6349805191508,1258.8236517153468,1250.7291052324438,1284.3459215555963,1265.813624858067,2.717731312310977,24,0.23931566428755768,-0.970941817426052,57
2024-06-23,1283.2350346997923,1282.224353774267,1282.102525498453,1286.7607663626156,1257.3994068657073,1253.5558630630308,1283.2432648693753,1268.438228903219,2.3491872565649614,25,0.12053668025532308,-0.992708874098054,58
2024-06-30,1287.0196469719676,1283.2350346997923,1282.224353774267,1281.8854138421657,1258.8152791324717,1255.9136160403054,1282.3618319536695,1270.9114932062823,0.5987757900938417,26,-3.216245299353273e-16,-1.0,59
2024-07-07,1287.3959975556716,1287.0196469719676,1283.2350346997923,1282.102525498453,1257.634537277757,1259.5083527473555,1283.64539023612,1273.5036624505876,2.3060627636972675,27,-0.12053668025532283,-0.992708874098054,60
